Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,24598,Suppressed*,54
6/9/2020,24599,Suppressed*,26
6/9/2020,24601,0,1
6/9/2020,24602,0,12
6/9/2020,24603,Suppressed*,15
6/9/2020,24605,Suppressed*,228
6/9/2020,24606,0,3
6/9/2020,24607,0,3
6/9/2020,24609,Suppressed*,126
6/9/2020,24612,0,4
6/9/2020,24613,0,26
6/9/2020,24614,17,337
6/9/2020,24620,0,30
6/9/2020,24622,0,28
6/9/2020,24628,0,6
6/9/2020,24630,0,130
6/9/2020,24631,0,32
6/9/2020,24634,0,11
6/9/2020,24635,0,21
6/9/2020,24637,Suppressed*,57
6/9/2020,24639,Suppressed*,79
6/9/2020,24641,0,166
6/9/2020,24646,0,13
6/9/2020,24649,0,40
6/9/2020,24651,0,318
6/9/2020,24656,0,52
6/9/2020,24657,0,4
6/9/2020,Not Reported,1172,2812
6/9/2020,Out-of-State,0,8221
